PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
454050,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,11285357,34890000,1859500
271335,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,59615010,20031704,97608855
110226,2021-09-01 00:00:00,2022-08-31 00:00:00,Settled,130461261,189856043,247616800
194087,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,4411528,8264070,
050191,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,270974663,901083369,329816125
140147,2021-01-01 00:00:00,2021-12-31 00:00:00,As Submitted,48299647,38351674,133132987
364029,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,22067279,66856000,8213563
171318,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,1450753,4795591
034038,2020-12-02 00:00:00,2021-12-31 00:00:00,Settled,15215309,21543340,
180070,2021-01-01 00:00:00,2021-05-31 00:00:00,Settled,17047491,19720305,45850858
100204,2021-03-01 00:00:00,2022-02-28 00:00:00,Settled w/Audit,467453014,3957186488,2546988401
340070,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,251287198,338101411,527454879
361315,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,6090918,76247160
190079,2021-08-01 00:00:00,2022-07-31 00:00:00,Settled,71362177,36163669,127954782
454131,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,19948834,40865161,8943421
223032,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,48531153,47851648,53858345
250072,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,145713072,1138171045,693202112
452086,2021-09-01 00:00:00,2022-08-31 00:00:00,Settled,17530738,76658904,
271303,2021-07-01 00:00:00,2022-06-30 00:00:00,Reopened,,3680181,1937574
031314,2021-01-01 00:00:00,2021-12-31 00:00:00,As Submitted,,68102118,131813837
220033,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,359331245,320936372,625886079
050710,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,359376571,637361380,900398277
271317,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,,17250840,67308001
052050,2021-09-01 00:00:00,2022-08-31 00:00:00,Settled,35358617,178635091,1581717
291300,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,16302550,7545842,17470304
271320,2021-04-01 00:00:00,2022-03-31 00:00:00,Settled,,9121442,53760386
034021,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,77086098,71183999,46980
650001,2020-10-01 00:00:00,2021-09-30 00:00:00,Amended,149570121,146183161,27072317
490126,2021-03-01 00:00:00,2022-02-28 00:00:00,Settled,34046250,76425647,160858575
451366,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,,244370,769697
420091,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,232066624,997733424,1231880210
100055,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,137091759,353480659,306236877
351319,2021-01-01 00:00:00,2021-12-31 00:00:00,As Submitted,18683925,6444795,17186269
060054,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,118327521,191809205,406579737
360359,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,219373122,398330215,543496135
151319,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,,7920664,72117967
501311,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,1363898,8251323
150045,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,52587662,44886599,191606666
234026,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,73250137,69652277,56371
050039,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,594821156,2125333885,1637403877
210017,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,57131213,24275678,49287526
054135,2021-05-01 00:00:00,2022-04-30 00:00:00,Settled,10859215,12492796,
030061,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,376955410,1243013694,712369896
330267,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,215172455,399965356,480232239
390096,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,248668729,423371892,800823631
161333,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,8481910,28587560
520083,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled w/Audit,362915211,1008898212,560604724
